cod_est,FECHA,T_Med,Lluvia_acum
AL008,2020-06-25T00:00:00,22.2091666666667,0
AL008,2020-06-26T00:00:00,21.9541666666667,0
AL008,2020-06-27T00:00:00,23.0391666666667,0
AL008,2020-06-28T00:00:00,22.9445833333333,0
AL008,2020-06-29T00:00:00,23.4304166666667,0
AL008,2020-06-30T00:00:00,24.1470833333333,0
AL008,2020-07-01T00:00:00,26.5770833333333,0
AL008,2020-07-02T00:00:00,26.03,0
AL008,2020-07-03T00:00:00,22.6333333333333,0
AL008,2020-07-04T00:00:00,21.58875,0.1
AL008,2020-07-05T00:00:00,21.8408333333333,0
AL008,2020-07-06T00:00:00,25.0054166666667,0
AL008,2020-07-07T00:00:00,26.8816666666667,0
AL008,2020-07-08T00:00:00,23.2841666666667,0
AL008,2020-07-09T00:00:00,22.5829166666667,0
AL008,2020-07-10T00:00:00,22.3941666666667,0
AL008,2020-07-11T00:00:00,22.3845833333333,0
AL008,2020-07-12T00:00:00,21.7854166666667,2.6
AL008,2020-07-13T00:00:00,21.3641666666667,0
AL008,2020-07-14T00:00:00,19.8416666666667,0.1
AL008,2020-07-15T00:00:00,20.3845833333333,0
AL008,2020-07-16T00:00:00,21.2179166666667,0
AL008,2020-07-17T00:00:00,22.0154166666667,0
AL008,2020-07-18T00:00:00,21.6104166666667,0
AL008,2020-07-19T00:00:00,22.6845833333333,2.7
AL008,2020-07-20T00:00:00,23.7416666666667,0
AL008,2020-07-21T00:00:00,23.2625,0
AL008,2020-07-22T00:00:00,22.5720833333333,0
AL008,2020-07-23T00:00:00,24.1191666666667,0
AL008,2020-07-24T00:00:00,26.21,0
AL008,2020-07-25T00:00:00,25.9895833333333,0
AL008,2020-07-26T00:00:00,26.3258333333333,0
AL008,2020-07-27T00:00:00,26.2541666666667,0
AL008,2020-07-28T00:00:00,26.3225,0
AL008,2020-07-29T00:00:00,25.4154166666667,0
AL008,2020-07-30T00:00:00,25.9983333333333,3.6
AL008,2020-07-31T00:00:00,27.8791666666667,0
AL008,2020-08-01T00:00:00,29.6370833333333,0
AL008,2020-08-02T00:00:00,29.7933333333333,0
AL008,2020-08-03T00:00:00,24.6725,0
AL008,2020-08-04T00:00:00,22.76875,0
AL008,2020-08-05T00:00:00,22.9283333333333,0
AL008,2020-08-06T00:00:00,23.0879166666667,0
AL008,2020-08-07T00:00:00,24.6383333333333,0
AL008,2020-08-08T00:00:00,25.6445833333333,0
AL008,2020-08-09T00:00:00,25.7595833333333,0
AL008,2020-08-10T00:00:00,25.00625,0
AL008,2020-08-11T00:00:00,23.7533333333333,0
AL008,2020-08-12T00:00:00,22.41125,0
AL008,2020-08-13T00:00:00,23.2204166666667,0
AL008,2020-08-14T00:00:00,23.19875,0
AL008,2020-08-15T00:00:00,23.12,0
AL008,2020-08-16T00:00:00,22.8379166666667,0
